Name,Coordinates,Cuisine
Shoo Long Kan,"40.76047, -73.83350",Sichuanese Hot pot
Chai,"40.76123, -73.98974",Beijingnese
Congee Village,"40.71880, -73.99038",Cantonese
Antidote,"40.71686, -73.96587",Sichuanese
Uluh,"40.72948, -73.98657",Sichuanese
Kong Sihk Tong,"40.71565, -73.99813",Cantonese
Bo Ky,"40.71591, -73.99867",Cantonese
Yin Ji Chang Fen,"40.71588, -73.99930",Cantonese
CheLi Manhattan,"40.72939, -73.98869",Zhejiangnese
Dun Huang,"40.81120, -73.95823",Northwestern Chinese
Taiwan Pork Chop House,"40.71441, -73.99803",Taiwanese
Haidilao Hot Pot,"40.76113, -73.82781",Sichuanese Hot pot
Szechuan Mountain House,"40.77162, -73.82937",Sichuanese
August Gatherings,"40.71926, -74.00112",Cantonese
Le Sia,"40.76091, -73.99127",Chinese
Hao Noodle,"40.73385, -74.00001",Sichuanese
Peppercorn Station,"40.75327, -73.98503",Sichuanese
Hutong New York,"40.76190, -73.96758",Northern Chinese
Chef Tan,"40.72969, -73.98790",Sichuanese Hunanese
Alley 41,"40.75929, -73.82798",Sichuanese
Nurlan Uyghur Restaurant,"40.75169, -73.82586",Uyghur
Ju Shui Yuan,"40.75946, -73.82674",Northeastern Chinese
900 Du Chuan Gong Restaurant,"40.75217, -73.82675",Northeastern Chinese
Red House Restaurant,"40.76127, -73.83304",Shanghainese
Deng Ji Yunnan Guoqiao Mixian,"40.75887, -73.83155",Yunnanese
Xi Top BBQ,"40.76266, -73.81513",Northeastern Chinese
Followsoshi,"40.75863, -73.83067",Northern Chinese
OK Ryan,"40.75618, -73.83381",Taiwanese
Chongqing Lao Zao,"40.76123, -73.83294",Sichuanese Hot pot
