Name,Coordinates,Cuisine,Latitude,Longitude
Nom Wah Tea Parlor,"40.71467, -73.99822",Cantonese,40.71467, -73.99822
Grand Sichuan,"40.74749, -74.00096",Sichuanese,40.74749, -74.00096
DAXI Sichuan Cuisine,"40.75950, -73.82906",Sichuanese,40.75950, -73.82906
Mala Project,"40.72836, -73.98555",Sichuanese,40.72836, -73.98555
RedFarm,"40.73881, -74.00606",Chinese fusion,40.73881, -74.00606
Great NY Noodletown,"40.71517, -73.99711",Cantonese,40.71517, -73.99711
Xi'an Famous Foods,"40.71584, -73.99716",Northwestern Chinese,40.71584, -73.99716
456 New Shanghai,"40.71636, -73.99828",Shanghainese,40.71636, -73.99828
Lan Sheng,"40.75168, -73.98833",Sichuanese,40.75168, -73.98833
Pacific Palace,"40.63831, -74.00615",Cantonese,40.63831, -74.00615
Yun Nan Flavour Garden,"40.64021, -74.00460",Yunnanese,40.64021, -74.00460
Han Dynasty Brooklyn,"40.69603, -73.98229",Sichuanese,40.69603, -73.98229
Spicy Village,"40.71718, -73.99346",Henanese,40.71718, -73.99346
Peking Duck House,"40.72620, -74.00034",Beijingnese,40.72620, -74.00034
Wo Hop,"40.71440, -73.99892",American Chinese,40.71440, -73.99892
Little Pepper,"40.78302, -73.84598",Sichuanese,40.78302, -73.84598
Hunan Slurp,"40.72688, -73.98566",Hunanese,40.72688, -73.98566
New World Mall,"40.75950, -73.82920",Chinese,40.75950, -73.82920
Tasty Hand-Pulled Noodles,"40.71426, -73.99787",Northern Chinese,40.71426, -73.99787
99 Favor Taste,"40.73228, -73.99310",Sichuanese,40.73228, -73.99310
Birds of a Feather,"40.71451, -73.96056",Sichuanese,40.71451, -73.96056
Spicy Moon,"40.73007, -73.99844",Vegan Sichuanese,40.73007, -73.99844
Nan Xiang Xiao Long Bao,"40.75974, -73.83245",Shanghainese,40.75974, -73.83245
Atlas Kitchen,"40.80351, -73.96678",Sichuanese Hunanese,40.80351, -73.96678
Fried Dumpling,"40.71469, -73.99925",Chinese,40.71469, -73.99925
