Name,Coordinates,Cuisine,Latitude,Longitude
Shoo Long Kan,"40.76047, -73.83350",Sichuanese Hot pot,40.76047, -73.83350
Chai,"40.76123, -73.98974",Beijingnese,40.76123, -73.98974
Antidote,"40.71686, -73.96587",Sichuanese,40.71686, -73.96587
Uluh,"40.72948, -73.98657",Sichuanese,40.72948, -73.98657
Kong Sihk Tong,"40.71565, -73.99813",Cantonese,40.71565, -73.99813
Bo Ky,"40.71591, -73.99867",Cantonese,40.71591, -73.99867
Yin Ji Chang Fen,"40.71588, -73.99930",Cantonese,40.71588, -73.99930
CheLi Manhattan,"40.72939, -73.98869",Zhejiangnese,40.72939, -73.98869
Dun Huang,"40.81120, -73.95823",Northwestern Chinese,40.81120, -73.95823
Taiwan Pork Chop House,"40.71441, -73.99803",Taiwanese,40.71441, -73.99803
Haidilao Hot Pot,"40.76113, -73.82781",Sichuanese Hot pot,40.76113, -73.82781
August Gatherings,"40.71926, -74.00112",Cantonese,40.71926, -74.00112
Le Sia,"40.76091, -73.99127",Chinese,40.76091, -73.99127
Peppercorn Station,"40.75327, -73.98503",Sichuanese,40.75327, -73.98503
Chef Tan,"40.72969, -73.98790",Sichuanese Hunanese,40.72969, -73.98790
Alley 41,"40.75929, -73.82798",Sichuanese,40.75929, -73.82798
Nurlan Uyghur Restaurant,"40.75169, -73.82586",Uyghur,40.75169, -73.82586
Ju Shui Yuan,"40.75946, -73.82674",Northeastern Chinese,40.75946, -73.82674
900 Du Chuan Gong Restaurant,"40.75217, -73.82675",Northeastern Chinese,40.75217, -73.82675
Red House Restaurant,"40.76127, -73.83304",Shanghainese,40.76127, -73.83304
Deng Ji Yunnan Guoqiao Mixian,"40.75887, -73.83155",Yunnanese,40.75887, -73.83155
Xi Top BBQ,"40.76266, -73.81513",Northeastern Chinese,40.76266, -73.81513
Followsoshi,"40.75863, -73.83067",Northern Chinese,40.75863, -73.83067
OK Ryan,"40.75618, -73.83381",Taiwanese,40.75618, -73.83381
Chongqing Lao Zao,"40.76123, -73.83294",Sichuanese Hot pot,40.76123, -73.83294
